date,year,month_num,month,quarter,is_festive_season,city,state,program,campaign,donor_type,channel,donation_amount,expense_amount,beneficiaries_reached,volunteer_hours,event_count,new_donors,recurring_donors,social_reach,engagement_rate,cost_per_beneficiary,donation_lag_1,beneficiaries_lag_1,donation_lag_2,beneficiaries_lag_2,donation_lag_3,beneficiaries_lag_3,donation_per_beneficiary,expense_ratio,volunteer_productivity,donation_surplus,month_sin,month_cos,high_efficiency,literacy_rate_pct,urban_population_pct,multidimensional_poverty_index,population_millions
2024-02-01,2024,2,Feb,Q1,0,Bhopal,Madhya Pradesh,Clothing Support,Warmth and Dignity Drive,Corporate CSR,Online Portal,38209,20054,128,39.2,1,6,2,6985,3.95,157.16,27403.0,156.0,27403.0,156.0,27403.0,156.0,298.5078125,0.5248501661912115,3.265306122448979,18155,0.866,0.5,0,69.3,28.4,0.126,85.4
2024-03-01,2024,3,Mar,Q1,0,Bhopal,Madhya Pradesh,Clothing Support,Warmth and Dignity Drive,Corporate CSR,UPI,39373,20143,166,51.0,2,7,2,7131,7.63,121.69,38209.0,128.0,27403.0,156.0,27403.0,156.0,237.1867469879518,0.5115942397074137,3.2549019607843137,19230,1.0,0.0,1,69.3,28.4,0.126,85.4
2024-04-01,2024,4,Apr,Q2,0,Bhopal,Madhya Pradesh,Clothing Support,Warmth and Dignity Drive,Individual,Bank Transfer,24923,21743,162,53.1,2,5,2,5603,5.59,134.38,39373.0,166.0,38209.0,128.0,27403.0,156.0,153.84567901234567,0.8724070136018939,3.0508474576271185,3180,0.866,-0.5,0,69.3,28.4,0.126,85.4
2024-05-01,2024,5,May,Q2,0,Bhopal,Madhya Pradesh,Clothing Support,Warmth and Dignity Drive,Individual,Online Portal,23096,20149,148,40.4,1,5,3,5112,5.83,136.06,24923.0,162.0,39373.0,166.0,38209.0,128.0,156.05405405405406,0.8724021475580187,3.6633663366336635,2947,0.5,-0.866,0,69.3,28.4,0.126,85.4
2024-06-01,2024,6,Jun,Q2,0,Bhopal,Madhya Pradesh,Clothing Support,Warmth and Dignity Drive,Community Group,Bank Transfer,34667,22781,161,49.1,2,7,3,6052,6.24,141.7,23096.0,148.0,24923.0,162.0,39373.0,166.0,215.32298136645963,0.6571379121354602,3.2790224032586557,11886,0.0,-1.0,0,69.3,28.4,0.126,85.4
2024-07-01,2024,7,Jul,Q3,0,Bhopal,Madhya Pradesh,Clothing Support,Warmth and Dignity Drive,Individual,Online Portal,30868,22134,139,47.8,2,5,2,6305,4.12,158.73,34667.0,161.0,23096.0,148.0,24923.0,162.0,222.07194244604315,0.7170532590384865,2.907949790794979,8734,-0.5,-0.866,0,69.3,28.4,0.126,85.4
2024-08-01,2024,8,Aug,Q3,1,Bhopal,Madhya Pradesh,Clothing Support,Warmth and Dignity Drive,Alumni Network,Online Portal,30108,21551,142,37.5,1,8,3,5490,5.75,152.26,30868.0,139.0,34667.0,161.0,23096.0,148.0,212.0281690140845,0.7157898233027766,3.7866666666666666,8557,-0.866,-0.5,0,69.3,28.4,0.126,85.4
2024-09-01,2024,9,Sep,Q3,1,Bhopal,Madhya Pradesh,Clothing Support,Warmth and Dignity Drive,Individual,Online Portal,31295,21585,172,47.4,2,6,3,7526,4.67,125.49,30108.0,142.0,30868.0,139.0,34667.0,161.0,181.94767441860466,0.6897267934174788,3.628691983122363,9710,-1.0,-0.0,1,69.3,28.4,0.126,85.4
2024-10-01,2024,10,Oct,Q4,1,Bhopal,Madhya Pradesh,Clothing Support,Warmth and Dignity Drive,Community Group,Bank Transfer,40349,21616,170,47.8,2,7,3,8508,5.65,126.81,31295.0,172.0,30108.0,142.0,30868.0,139.0,237.3470588235294,0.5357257924607797,3.556485355648536,18733,-0.866,0.5,1,69.3,28.4,0.126,85.4
2024-11-01,2024,11,Nov,Q4,1,Bhopal,Madhya Pradesh,Clothing Support,Warmth and Dignity Drive,Corporate CSR,Bank Transfer,47530,20198,160,46.9,2,8,3,8973,6.53,126.28,40349.0,170.0,31295.0,172.0,30108.0,142.0,297.0625,0.4249526614769619,3.4115138592750536,27332,-0.5,0.866,1,69.3,28.4,0.126,85.4
2024-12-01,2024,12,Dec,Q4,1,Bhopal,Madhya Pradesh,Clothing Support,Warmth and Dignity Drive,Corporate CSR,UPI,53634,22691,150,46.7,2,9,4,8038,7.19,150.8,47530.0,160.0,40349.0,170.0,31295.0,172.0,357.56,0.42307118618786593,3.2119914346895073,30943,-0.0,1.0,0,69.3,28.4,0.126,85.4
2025-01-01,2025,1,Jan,Q1,0,Bhopal,Madhya Pradesh,Clothing Support,Warmth and Dignity Drive,Corporate CSR,Fundraising Event,45220,20290,153,50.0,2,9,4,7530,9.66,132.78,53634.0,150.0,47530.0,160.0,40349.0,170.0,295.55555555555554,0.4486952675807165,3.06,24930,0.5,0.866,0,69.3,28.4,0.126,85.4
2025-02-01,2025,2,Feb,Q1,0,Bhopal,Madhya Pradesh,Clothing Support,Warmth and Dignity Drive,Corporate CSR,Online Portal,51945,19934,175,62.5,2,11,5,9896,7.13,113.61,45220.0,153.0,53634.0,150.0,47530.0,160.0,296.8285714285714,0.38375204543266916,2.8,32011,0.866,0.5,1,69.3,28.4,0.126,85.4
2025-03-01,2025,3,Mar,Q1,0,Bhopal,Madhya Pradesh,Clothing Support,Warmth and Dignity Drive,Individual,Bank Transfer,32474,21547,161,44.0,1,8,4,6365,5.24,133.77,51945.0,175.0,45220.0,153.0,53634.0,150.0,201.70186335403727,0.6635154277267968,3.659090909090909,10927,1.0,0.0,0,69.3,28.4,0.126,85.4
2025-04-01,2025,4,Apr,Q2,0,Bhopal,Madhya Pradesh,Clothing Support,Warmth and Dignity Drive,Corporate CSR,Online Portal,49958,19083,174,61.0,2,13,5,9680,3.92,109.51,32474.0,161.0,51945.0,175.0,45220.0,153.0,287.11494252873564,0.3819808639256976,2.8524590163934427,30875,0.866,-0.5,1,69.3,28.4,0.126,85.4
2025-05-01,2025,5,May,Q2,0,Bhopal,Madhya Pradesh,Clothing Support,Warmth and Dignity Drive,Individual,Online Portal,25637,21075,181,49.1,2,4,2,6738,5.41,116.73,49958.0,174.0,32474.0,161.0,51945.0,175.0,141.64088397790056,0.8220540624878105,3.686354378818737,4562,0.5,-0.866,1,69.3,28.4,0.126,85.4
2025-06-01,2025,6,Jun,Q2,0,Bhopal,Madhya Pradesh,Clothing Support,Warmth and Dignity Drive,Corporate CSR,Online Portal,52344,22770,181,53.9,2,10,4,7416,7.6,125.99,25637.0,181.0,49958.0,174.0,32474.0,161.0,289.1933701657459,0.4350068775790922,3.358070500927644,29574,0.0,-1.0,1,69.3,28.4,0.126,85.4
2025-07-01,2025,7,Jul,Q3,0,Bhopal,Madhya Pradesh,Clothing Support,Warmth and Dignity Drive,Individual,Bank Transfer,32628,22580,166,43.9,2,7,2,6237,6.24,136.18,52344.0,181.0,25637.0,181.0,49958.0,174.0,196.55421686746988,0.6920436434963835,3.781321184510251,10048,-0.5,-0.866,0,69.3,28.4,0.126,85.4
2025-08-01,2025,8,Aug,Q3,1,Bhopal,Madhya Pradesh,Clothing Support,Warmth and Dignity Drive,Individual,Online Portal,35077,22405,147,47.9,1,9,3,5823,3.44,152.01,32628.0,166.0,52344.0,181.0,25637.0,181.0,238.61904761904762,0.6387376343472931,3.068893528183716,12672,-0.866,-0.5,0,69.3,28.4,0.126,85.4
2025-09-01,2025,9,Sep,Q3,1,Bhopal,Madhya Pradesh,Clothing Support,Warmth and Dignity Drive,Community Group,Online Portal,44535,22786,181,56.2,2,7,3,8839,7.94,125.85,35077.0,147.0,32628.0,166.0,52344.0,181.0,246.04972375690608,0.51164252834849,3.2206405693950177,21749,-1.0,-0.0,1,69.3,28.4,0.126,85.4
2025-10-01,2025,10,Oct,Q4,1,Bhopal,Madhya Pradesh,Clothing Support,Warmth and Dignity Drive,Community Group,UPI,36939,19784,159,41.1,2,7,3,7418,4.46,124.68,44535.0,181.0,35077.0,147.0,32628.0,166.0,232.32075471698113,0.5355856953355532,3.8686131386861313,17155,-0.866,0.5,1,69.3,28.4,0.126,85.4
2025-11-01,2025,11,Nov,Q4,1,Bhopal,Madhya Pradesh,Clothing Support,Warmth and Dignity Drive,Individual,UPI,34220,22069,166,45.3,2,8,4,6764,6.6,133.07,36939.0,159.0,44535.0,181.0,35077.0,147.0,206.14457831325302,0.6449152542372881,3.664459161147903,12151,-0.5,0.866,0,69.3,28.4,0.126,85.4
2025-12-01,2025,12,Dec,Q4,1,Bhopal,Madhya Pradesh,Clothing Support,Warmth and Dignity Drive,Community Group,Online Portal,38203,22480,161,54.0,1,7,2,7628,4.9,139.74,34220.0,166.0,36939.0,159.0,44535.0,181.0,237.28571428571428,0.5884354631835196,2.9814814814814814,15723,-0.0,1.0,0,69.3,28.4,0.126,85.4
