date,year,month_num,month,quarter,is_festive_season,city,state,program,campaign,donor_type,channel,donation_amount,expense_amount,beneficiaries_reached,volunteer_hours,event_count,new_donors,recurring_donors,social_reach,engagement_rate,cost_per_beneficiary
2024-01-01,2024,1,Jan,Q1,0,Kanpur,Uttar Pradesh,Education Support,Back to School Drive,Corporate CSR,UPI,101646,39793,195,62.8,2,20,8,11689,3.82,204.1
2024-01-01,2024,1,Jan,Q1,0,Kanpur,Uttar Pradesh,Food Distribution,Meal Support Campaign,Individual,UPI,47674,50848,349,110.2,4,11,5,13796,4.25,145.66
2024-01-01,2024,1,Jan,Q1,0,Kanpur,Uttar Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Individual,Fundraising Event,37798,26778,278,68.4,4,6,3,11184,8.02,96.37
2024-01-01,2024,1,Jan,Q1,0,Kanpur,Uttar Pradesh,Clothing Support,Warmth and Dignity Drive,Corporate CSR,Online Portal,57426,33450,216,75.1,2,13,4,10518,8.3,155.1
2024-01-01,2024,1,Jan,Q1,0,Kanpur,Uttar Pradesh,Health Awareness,Community Wellness Camp,Alumni Network,Bank Transfer,46000,31123,258,84.0,3,10,4,10854,7.71,120.7
2024-01-01,2024,1,Jan,Q1,0,Delhi,Delhi,Education Support,Back to School Drive,Individual,Bank Transfer,54440,40314,185,63.5,2,10,3,8465,8.27,217.47
2024-01-01,2024,1,Jan,Q1,0,Delhi,Delhi,Food Distribution,Meal Support Campaign,Individual,UPI,48130,42755,305,112.6,3,9,3,11335,9.04,140.03
2024-01-01,2024,1,Jan,Q1,0,Delhi,Delhi,Menstrual Hygiene,Pad for Dignity Drive,Corporate CSR,Bank Transfer,62467,26578,219,57.4,2,10,4,9482,9.78,121.25
2024-01-01,2024,1,Jan,Q1,0,Delhi,Delhi,Clothing Support,Warmth and Dignity Drive,Corporate CSR,UPI,65275,29012,238,65.4,2,12,4,11523,6.29,121.76
2024-01-01,2024,1,Jan,Q1,0,Delhi,Delhi,Health Awareness,Community Wellness Camp,Individual,UPI,39095,32027,227,72.2,2,8,3,7465,3.22,141.06
2024-01-01,2024,1,Jan,Q1,0,Lucknow,Uttar Pradesh,Education Support,Back to School Drive,Community Group,Fundraising Event,62426,34353,180,58.1,2,11,4,8656,5.67,190.82
2024-01-01,2024,1,Jan,Q1,0,Lucknow,Uttar Pradesh,Food Distribution,Meal Support Campaign,Individual,UPI,38661,36460,264,81.8,2,7,2,8467,6.94,138.01
2024-01-01,2024,1,Jan,Q1,0,Lucknow,Uttar Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Individual,Online Portal,36027,22333,224,55.9,2,6,2,8485,7.2,99.56
2024-01-01,2024,1,Jan,Q1,0,Lucknow,Uttar Pradesh,Clothing Support,Warmth and Dignity Drive,Alumni Network,Bank Transfer,34627,27083,178,52.8,2,7,2,5924,3.34,151.75
2024-01-01,2024,1,Jan,Q1,0,Lucknow,Uttar Pradesh,Health Awareness,Community Wellness Camp,Corporate CSR,Bank Transfer,46466,23119,226,56.9,3,10,4,8495,6.4,102.29
2024-01-01,2024,1,Jan,Q1,0,Jaipur,Rajasthan,Education Support,Back to School Drive,Corporate CSR,Online Portal,65924,30949,153,49.2,2,14,5,10066,3.56,201.86
2024-01-01,2024,1,Jan,Q1,0,Jaipur,Rajasthan,Food Distribution,Meal Support Campaign,Corporate CSR,UPI,51773,38189,258,73.0,3,10,3,9206,6.25,147.84
2024-01-01,2024,1,Jan,Q1,0,Jaipur,Rajasthan,Menstrual Hygiene,Pad for Dignity Drive,Community Group,UPI,36810,20578,200,48.5,2,6,3,9240,8.8,102.75
2024-01-01,2024,1,Jan,Q1,0,Jaipur,Rajasthan,Clothing Support,Warmth and Dignity Drive,Individual,Online Portal,28046,25923,185,50.8,3,6,3,7622,5.08,140.11
2024-01-01,2024,1,Jan,Q1,0,Jaipur,Rajasthan,Health Awareness,Community Wellness Camp,Corporate CSR,Online Portal,44530,25216,186,56.0,2,8,2,8420,6.52,135.72
2024-01-01,2024,1,Jan,Q1,0,Patna,Bihar,Education Support,Back to School Drive,Community Group,Bank Transfer,42270,31355,144,45.9,2,7,3,8010,6.96,217.07
2024-01-01,2024,1,Jan,Q1,0,Patna,Bihar,Food Distribution,Meal Support Campaign,Corporate CSR,UPI,56159,34260,222,72.6,2,13,6,9084,5.81,154.19
2024-01-01,2024,1,Jan,Q1,0,Patna,Bihar,Menstrual Hygiene,Pad for Dignity Drive,Corporate CSR,Fundraising Event,47619,20592,190,45.3,2,9,3,8643,6.54,108.36
2024-01-01,2024,1,Jan,Q1,0,Patna,Bihar,Clothing Support,Warmth and Dignity Drive,Individual,Fundraising Event,28882,21930,173,47.5,2,5,2,7917,7.52,126.54
2024-01-01,2024,1,Jan,Q1,0,Patna,Bihar,Health Awareness,Community Wellness Camp,Individual,Fundraising Event,30061,23165,164,44.4,1,5,2,5866,4.59,141.36
2024-01-01,2024,1,Jan,Q1,0,Bhopal,Madhya Pradesh,Education Support,Back to School Drive,Individual,Fundraising Event,36338,29409,125,39.4,1,6,2,5693,4.06,235.5
2024-01-01,2024,1,Jan,Q1,0,Bhopal,Madhya Pradesh,Food Distribution,Meal Support Campaign,Alumni Network,Bank Transfer,34094,30889,214,58.2,3,6,3,8129,8.71,144.45
2024-01-01,2024,1,Jan,Q1,0,Bhopal,Madhya Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Corporate CSR,Bank Transfer,43902,17214,139,45.1,1,11,4,7391,7.6,124.14
2024-01-01,2024,1,Jan,Q1,0,Bhopal,Madhya Pradesh,Clothing Support,Warmth and Dignity Drive,Individual,Online Portal,27403,22559,156,44.0,2,5,2,5805,4.38,144.77
2024-01-01,2024,1,Jan,Q1,0,Bhopal,Madhya Pradesh,Health Awareness,Community Wellness Camp,Alumni Network,Online Portal,28966,21255,187,50.7,2,7,3,7976,4.67,113.63
2024-02-01,2024,2,Feb,Q1,0,Kanpur,Uttar Pradesh,Education Support,Back to School Drive,Community Group,Online Portal,68851,45763,229,77.1,2,14,5,9652,8.3,200.03
2024-02-01,2024,2,Feb,Q1,0,Kanpur,Uttar Pradesh,Food Distribution,Meal Support Campaign,Individual,Online Portal,50751,47483,363,99.3,3,11,5,15736,3.45,130.96
2024-02-01,2024,2,Feb,Q1,0,Kanpur,Uttar Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Corporate CSR,Fundraising Event,76532,28224,236,67.5,3,15,5,12841,3.21,119.38
2024-02-01,2024,2,Feb,Q1,0,Kanpur,Uttar Pradesh,Clothing Support,Warmth and Dignity Drive,Alumni Network,Bank Transfer,40763,33715,203,59.3,2,7,3,7624,5.24,165.96
